id,keyword A,keyword C,exist_B,num_B,meaningful,keywords B
id3,family,obama,True,38, ,"[('year', 5), ('ernst', 5), ('georgetown', 3), ('gordon', 3), ('million', 3), ('university', 3), ('massachusetts', 3), ('island', 3), ('rhode', 3), ('tuesday', 3), ('gordie', 2), ('key', 2), ('new', 2), ('malia', 2), ('sasha', 2), ('york', 2), ('michelle', 2), ('worldwide', 1), ('voice', 1), ('foundation', 1), ('california', 1), ('washington', 1), ('second', 1), ('december', 1), ('wake', 1), ('singer', 1), ('department', 1), ('forest', 1), ('justice', 1), ('stanford', 1), ('william', 1), ('usc', 1), ('coach', 1), ('journal', 1), ('tennis', 1), ('providence', 1), ('america', 1), ('old', 1)]"
id3,family,admission,True,19, ,"[('georgetown', 1), ('december', 1), ('gordon', 1), ('wake', 1), ('singer', 1), ('island', 1), ('million', 1), ('massachusetts', 1), ('rhode', 1), ('year', 1), ('department', 1), ('forest', 1), ('justice', 1), ('university', 1), ('stanford', 1), ('tuesday', 1), ('ernst', 1), ('william', 1), ('usc', 1)]"
id3,family,scandal,True,19, ,"[('georgetown', 1), ('december', 1), ('gordon', 1), ('wake', 1), ('singer', 1), ('island', 1), ('million', 1), ('massachusetts', 1), ('rhode', 1), ('year', 1), ('department', 1), ('forest', 1), ('justice', 1), ('university', 1), ('stanford', 1), ('tuesday', 1), ('ernst', 1), ('william', 1), ('usc', 1)]"
id3,family,college,True,19, ,"[('georgetown', 1), ('december', 1), ('gordon', 1), ('wake', 1), ('singer', 1), ('island', 1), ('million', 1), ('massachusetts', 1), ('rhode', 1), ('year', 1), ('department', 1), ('forest', 1), ('justice', 1), ('university', 1), ('stanford', 1), ('tuesday', 1), ('ernst', 1), ('william', 1), ('usc', 1)]"
id3,family,march,True,31, ,"[('gordon', 3), ('massachusetts', 3), ('year', 3), ('ernst', 3), ('angeles', 1), ('court', 1), ('los', 1), ('june', 1), ('second', 1), ('july', 1), ('stephen', 1), ('california', 1), ('district', 1), ('lisa', 1), ('america', 1), ('old', 1), ('georgetown', 1), ('december', 1), ('wake', 1), ('singer', 1), ('island', 1), ('million', 1), ('rhode', 1), ('department', 1), ('forest', 1), ('justice', 1), ('university', 1), ('stanford', 1), ('tuesday', 1), ('william', 1), ('usc', 1)]"
id3,catch,obama,False,0, ,[]
id3,catch,admission,False,0, ,[]
id3,catch,scandal,False,0, ,[]
id3,catch,college,False,0, ,[]
id3,catch,march,False,0, ,[]
id3,obama,admission,True,28, ,"[('year', 3), ('ernst', 3), ('georgetown', 2), ('gordie', 2), ('gordon', 2), ('million', 2), ('university', 2), ('key', 2), ('massachusetts', 2), ('island', 2), ('rhode', 2), ('tuesday', 2), ('worldwide', 1), ('voice', 1), ('foundation', 1), ('california', 1), ('washington', 1), ('second', 1), ('december', 1), ('wake', 1), ('singer', 1), ('family', 1), ('department', 1), ('forest', 1), ('justice', 1), ('stanford', 1), ('william', 1), ('usc', 1)]"
id3,obama,scandal,True,28, ,"[('year', 3), ('ernst', 3), ('georgetown', 2), ('gordie', 2), ('gordon', 2), ('million', 2), ('university', 2), ('key', 2), ('massachusetts', 2), ('island', 2), ('rhode', 2), ('tuesday', 2), ('worldwide', 1), ('voice', 1), ('foundation', 1), ('california', 1), ('washington', 1), ('second', 1), ('december', 1), ('wake', 1), ('singer', 1), ('family', 1), ('department', 1), ('forest', 1), ('justice', 1), ('stanford', 1), ('william', 1), ('usc', 1)]"
id3,obama,college,True,28, ,"[('year', 3), ('ernst', 3), ('georgetown', 2), ('gordie', 2), ('gordon', 2), ('million', 2), ('university', 2), ('key', 2), ('massachusetts', 2), ('island', 2), ('rhode', 2), ('tuesday', 2), ('worldwide', 1), ('voice', 1), ('foundation', 1), ('california', 1), ('washington', 1), ('second', 1), ('december', 1), ('wake', 1), ('singer', 1), ('family', 1), ('department', 1), ('forest', 1), ('justice', 1), ('stanford', 1), ('william', 1), ('usc', 1)]"
id3,obama,march,True,31, ,"[('year', 6), ('ernst', 6), ('gordon', 4), ('massachusetts', 4), ('california', 2), ('georgetown', 2), ('gordie', 2), ('million', 2), ('university', 2), ('key', 2), ('island', 2), ('rhode', 2), ('tuesday', 2), ('second', 2), ('america', 2), ('old', 2), ('worldwide', 1), ('voice', 1), ('foundation', 1), ('october', 1), ('washington', 1), ('december', 1), ('wake', 1), ('singer', 1), ('family', 1), ('department', 1), ('forest', 1), ('justice', 1), ('stanford', 1), ('william', 1), ('usc', 1)]"
id3,admission,scandal,False,0, ,[]
id3,admission,college,False,0, ,[]
id3,admission,march,True,14, ,"[('angeles', 1), ('gordon', 1), ('court', 1), ('los', 1), ('june', 1), ('second', 1), ('july', 1), ('stephen', 1), ('massachusetts', 1), ('year', 1), ('ernst', 1), ('california', 1), ('district', 1), ('lisa', 1)]"
id3,scandal,college,False,0, ,[]
id3,scandal,march,True,14, ,"[('angeles', 1), ('gordon', 1), ('court', 1), ('los', 1), ('june', 1), ('second', 1), ('july', 1), ('stephen', 1), ('massachusetts', 1), ('year', 1), ('ernst', 1), ('california', 1), ('district', 1), ('lisa', 1)]"
id3,college,march,True,14, ,"[('angeles', 1), ('gordon', 1), ('court', 1), ('los', 1), ('june', 1), ('second', 1), ('july', 1), ('stephen', 1), ('massachusetts', 1), ('year', 1), ('ernst', 1), ('california', 1), ('district', 1), ('lisa', 1)]"
id4,politician,contribute,False,0, ,[]
id4,politician,million,False,0, ,[]
id4,politician,wake,False,0, ,[]
id4,politician,money,False,0, ,[]
id4,politician,donald,False,0, ,[]
id4,politician,relief,False,0, ,[]
id4,politician,hurricane,False,0, ,[]
id4,politician,bahama,False,0, ,[]
id4,politician,trump,False,0, ,[]
id4,politician,dorian,False,0, ,[]
id4,politician,donate,False,0, ,[]
id4,politician,fund,False,0, ,[]
id4,politician,president,False,0, ,[]
id4,contribute,million,False,0, ,[]
id4,contribute,wake,False,0, ,[]
id4,contribute,money,False,0, ,[]
id4,contribute,donald,False,0, ,[]
id4,contribute,relief,False,0, ,[]
id4,contribute,hurricane,False,0, ,[]
id4,contribute,bahama,False,0, ,[]
id4,contribute,trump,False,0, ,[]
id4,contribute,dorian,False,0, ,[]
id4,contribute,donate,False,0, ,[]
id4,contribute,fund,False,0, ,[]
id4,contribute,president,False,0, ,[]
id4,million,wake,False,0, ,[]
id4,million,money,False,0, ,[]
id4,million,donald,True,30, ,"[('florida', 8), ('carolina', 5), ('trump', 5), ('day', 5), ('hurricane', 4), ('dorian', 4), ('miami', 3), ('sept', 2), ('national', 2), ('states', 2), ('united', 2), ('university', 2), ('house', 2), ('aug', 2), ('center', 2), ('white', 2), ('ap', 1), ('bahamas', 1), ('paul', 1), ('world', 1), ('news', 1), ('twitter', 1), ('second', 1), ('washington', 1), ('ago', 1), ('north', 1), ('office', 1), ('week', 1), ('year', 1), ('department', 1)]"
id4,million,relief,True,15, ,"[('bahama', 2), ('florida', 2), ('carolina', 2), ('dollar', 1), ('abaco', 1), ('company', 1), ('freeport', 1), ('hurricane', 1), ('grand', 1), ('dorian', 1), ('international', 1), ('bahamian', 1), ('paul', 1), ('world', 1), ('miami', 1)]"
